año;mes;dia_semana;hora;intensidad_media;intensidad_total;ocupacion_media;velocidad_media;registros
2023;2;1;5;253,58793969849245;50464;0,9426298157453935;13,520100502512562;199
2023;2;1;6;776,9849246231156;154620;2,3876262626262625;23,881909547738694;199
2023;2;1;7;2246,246231155779;447003;6,817839195979899;28,99497487437186;199
2023;2;1;8;3299,925;659985;12,51375;28,2375;200
2023;2;1;9;3035,361809045226;604037;13,690536013400335;27,768844221105528;199
2023;2;1;10;2569,713567839196;511373;10,014237855946398;28,272613065326635;199
2023;2;1;11;2373,25;474650;7,96375;28,76875;200
2023;2;1;12;2433,85;486770;7,9375;28,93;200
2023;2;1;13;2588,29;517658;8,433333333333334;29,13625;200
2023;2;1;14;3099,99;619998;10,089583333333334;29,13625;200
2023;2;1;15;3117,665;623533;10,6275;28,5425;200
2023;2;1;16;2847,175;569435;9,44125;28,8225;200
2023;2;1;17;2954,325;590865;10,880416666666667;28,11625;200
2023;2;1;18;3196,655;639331;11,906666666666668;28,2025;200
2023;2;1;19;3124,235;624847;11,78625;27,72125;200
2023;2;1;20;2848,42;569684;9,3775;28,72125;200
2023;2;1;21;2282,894472361809;454296;7,193467336683417;29,484924623115578;199
2023;2;1;22;1518,9346733668342;302268;4,852177554438861;29,131909547738694;199
2023;2;1;23;1048,6565656565656;207634;3,492845117845118;28,00631313131313;198
2023;2;2;0;701,945;140389;2,2720833333333332;21,12;200
2023;2;2;1;351,13;70226;1,495;15,645;200
2023;2;2;2;196,675;39335;1,035;12,3025;200
2023;2;2;3;147,49;29498;0,6920833333333333;10,17125;200
2023;2;2;4;147,97;29594;0,5993265993265994;9,83;200
2023;2;2;5;237,345;47469;0,83625;13,01375;200
2023;2;2;6;762,34;152468;2,205;24,2975;200
2023;2;2;7;2242,81;448562;6,6725;28,8675;200
2023;2;2;8;3260,485;652097;12,465;28,14625;200
2023;2;2;9;3094,175;618835;12,33875;27,7925;200
2023;2;2;10;2510,925;502185;8,320833333333333;28,56875;200
2023;2;2;11;2377,0502512562816;473033;7,68476430976431;28,85929648241206;199
2023;2;2;12;2459,625;491925;7,796666666666666;28,7575;200
2023;2;2;13;2586,075;517215;8,3075;28,9775;200
2023;2;2;14;3044,295;608859;10,0725;29,105;200
2023;2;2;15;3132,25;626450;10,4925;28,9725;200
2023;2;2;16;2842,315;568463;9,526666666666666;29,275;200
2023;2;2;17;3008,18;601636;10,3875;28,77;200
2023;2;2;18;3203,14;640628;11,2025;28,15625;200
2023;2;2;19;3211,005;642201;11,196666666666667;28,095;200
2023;2;2;20;2877,335;575467;9,0075;28,68625;200
2023;2;2;21;2304,19;460838;6,852083333333334;29,57875;200
2023;2;2;22;1573,64;314728;4,46125;29,65375;200
2023;2;2;23;1145,665;229133;3,519166666666667;28,2325;200
2023;2;3;0;809,575;161915;2,49625;24,07;200
2023;2;3;1;415,705;83141;1,49375;18,02375;200
2023;2;3;2;252,935;50587;1,2487373737373737;14,14;200
2023;2;3;3;191,905;38381;1,0349326599326598;11,42625;200
2023;2;3;4;188,65;37730;0,8010887772194304;11,23;200
2023;2;3;5;270,415;54083;0,7981574539363484;14,23375;200
2023;2;3;6;775,755;155151;2,375;23,375;200
2023;2;3;7;2201,295;440259;6,626666666666666;28,73625;200
2023;2;3;8;3236,86;647372;11,3175;28,87125;200
2023;2;3;9;3094,375;618875;11,949166666666667;28,3975;200
2023;2;3;10;2501,16;500232;8,444583333333334;28,68375;200
2023;2;3;11;2431,5125628140704;483871;7,9539363484087096;28,587939698492463;199
2023;2;3;12;2472,8643216080404;492100;7,8706030150753765;28,967336683417084;199
2023;2;3;13;2617,405;523481;8,415;28,98375;200
2023;2;3;14;3131,3;626260;9,94625;29,0825;200
2023;2;3;15;3192,452261306533;635298;9,693467336683417;29,262562814070353;199
2023;2;3;16;2883,9798994974876;573912;9,43718592964824;29,170854271356784;199
2023;2;3;17;3053,35;610670;11,0425;28,505;200
2023;2;3;18;3232,235;646447;11,63875;28,01125;200
2023;2;3;19;3191,59;638318;11,951666666666668;27,5125;200
2023;2;3;20;2967,925;593585;9,7275;28,2675;200
2023;2;3;21;2407,515;481503;7,130833333333333;29,36625;200
2023;2;3;22;1648,385;329677;5,13875;29,64125;200
2023;2;3;23;1240,96;248192;4,12125;28,6;200
2023;2;4;0;962,48;192496;2,964166666666667;24,58625;200
2023;2;4;1;552,215;110443;1,7726130653266332;19,81875;200
2023;2;4;2;339,75;67950;1,4204545454545454;16,08625;200
2023;2;4;3;253,915;50783;1,2074915824915824;13,35625;200
2023;2;4;4;242,9;48580;1,0744949494949494;13,7925;200
2023;2;4;5;325,285;65057;1,0871212121212122;16,65625;200
2023;2;4;6;795,39;159078;2,2683333333333335;24,765;200
2023;2;4;7;2006,52;401304;5,777083333333334;28,74125;200
2023;2;4;8;2921,98;584396;9,35;29,12875;200
2023;2;4;9;2795,565;559113;9,6325;29,05125;200
2023;2;4;10;2442,025;488405;7,756666666666666;29,02;200
2023;2;4;11;2406,655;481331;7,6225;28,725;200
2023;2;4;12;2554,965;510993;8,255;28,76;200
2023;2;4;13;2809,47;561894;9,262083333333333;28,86;200
